Make,Model,Vehicle_Class,Engine_Size,Cylinders,Transmission,Fuel_Consumption_in_City,Fuel_Consumption_in_City_Hwy,Fuel_Consumption_comb,CO2_Emissions,CO2_Level
Cadillac,CT4 AWD,Compact,2.0,4,AS8,10.4,7.4,9.1,213,normal
Cadillac,CT4 AWD,Compact,2.7,4,AS10,11.4,8.2,9.9,232,normal
Cadillac,CT4-V,Compact,2.7,4,AS10,11.5,8.2,10.0,234,normal
Cadillac,CT4-V AWD,Compact,2.7,4,AS10,11.7,8.4,10.2,239,normal
Cadillac,CT5,Mid-size,2.0,4,AS10,10.4,7.3,9.0,209,normal
Cadillac,CT5,Mid-size,3.0,6,AS10,12.3,8.5,10.6,249,normal
Cadillac,CT5 AWD,Mid-size,2.0,4,AS10,11.0,7.7,9.5,242,normal
Cadillac,CT5 AWD,Mid-size,3.0,6,AS10,12.7,9.1,11.1,260,high
Cadillac,CT5-V,Mid-size,3.0,6,AS10,12.7,8.7,10.9,256,high
Cadillac,CT5-V AWD,Mid-size,3.0,6,AS10,12.7,9.1,11.1,260,high
Cadillac,Escalade 4WD,SUV: Standard,3.0,6,A10,12.0,8.9,10.6,277,high
Cadillac,Escalade 4WD,SUV: Standard,6.2,8,A10,16.8,12.4,14.8,347,high
Cadillac,Escalade 4WD (Without Stop-Start),SUV: Standard,6.2,8,A10,17.5,12.6,15.3,357,high
Cadillac,XT4,SUV: Small,2.0,4,AS9,9.9,7.8,8.9,209,normal
Cadillac,XT4 AWD,SUV: Small,2.0,4,AS9,10.9,8.2,9.7,227,normal
Cadillac,XT5,SUV: Small,2.0,4,AS9,10.7,8.0,9.5,222,normal
Cadillac,XT5 AWD,SUV: Small,2.0,4,AS9,11.2,8.7,10.1,237,normal
Cadillac,XT5 AWD,SUV: Small,3.6,6,AS9,12.9,9.2,11.2,263,high
Cadillac,XT6 AWD,SUV: Small,2.0,4,AS9,11.2,9.0,10.2,239,normal
Cadillac,XT6 AWD,SUV: Small,3.6,6,AS9,13.1,9.5,11.5,269,high
Chevrolet,Blazer,SUV: Small,2.0,4,A9,10.6,8.0,9.4,221,normal
Chevrolet,Blazer,SUV: Small,2.5,4,A9,11.3,8.9,10.2,238,normal
Chevrolet,Blazer,SUV: Small,3.6,6,A9,12.0,8.7,10.5,247,normal
Chevrolet,Blazer AWD,SUV: Small,2.0,4,A9,10.6,8.7,9.7,227,normal
Chevrolet,Blazer AWD,SUV: Small,3.6,6,A9,12.5,9.0,10.9,256,high
Chevrolet,Camaro,Subcompact,2.0,4,AS8,10.9,7.8,9.5,222,normal
Chevrolet,Camaro,Subcompact,2.0,4,M6,12.6,8.0,10.5,247,normal
Chevrolet,Camaro,Subcompact,3.6,6,AS10,12.8,8.1,10.7,251,normal
Chevrolet,Camaro,Subcompact,3.6,6,M6,14.4,9.0,12.0,281,high
Chevrolet,Camaro SS,Subcompact,6.2,8,AS10,14.6,8.9,12.0,281,high
Chevrolet,Camaro SS,Subcompact,6.2,8,M6,14.9,9.9,12.6,296,high
Chevrolet,Camaro ZL1,Subcompact,6.2,8,AS10,18.3,11.2,15.1,355,high
Chevrolet,Camaro ZL1,Subcompact,6.2,8,M6,17.2,12.0,14.8,349,high
Chevrolet,Colorado,Pickup truck: Small,2.5,4,A6,12.2,9.4,10.9,257,high
Chevrolet,Colorado,Pickup truck: Small,2.8,4,A6,11.8,7.9,10.1,294,high
Chevrolet,Colorado,Pickup truck: Small,3.6,6,A8,12.9,9.3,11.3,263,high
Chevrolet,Colorado 4WD,Pickup truck: Small,2.5,4,A6,12.7,9.9,11.4,268,high
Chevrolet,Colorado 4WD,Pickup truck: Small,2.8,4,A6,12.2,8.4,10.5,294,high
